"","logFC","unshrunk.logFC","logCPM","PValue","FDR"
"ENST00000611116.2",-2.35066975735956,-2.41453155729029,-0.963275025465715,0.00260250085212482,0.022724151222339
"ENST00000390289.2",-0.000477812792383142,-0.000494535911216806,0.0168416723404389,0.999413136322624,0.999998637727127
"ENST00000617347.1",-3.70368968890038,-3.76658080692362,0.267562886805899,9.88070182029905e-05,0.0013101863593351
"ENST00000361390.2",0.166947959056298,0.16694876819436,10.5113375173814,0.579658199505448,0.883612409481807
"ENST00000361453.3",0.0942647489255324,0.0942651882961523,10.5645781293701,0.876734191516324,0.980430812006043
"ENST00000361624.2",0.217787317332765,0.217787469720665,13.306317149988,0.512926291508135,0.852344031718267
"ENST00000361739.1",0.0704208893927437,0.0704210250215088,11.8399876450521,0.954820634904686,0.996778150221046
"ENST00000361851.1",0.0395957576698975,0.0395964770714588,8.60174861565282,0.963024317882457,0.997508029812616
"ENST00000361899.2",0.163465016331393,0.163465457931226,11.3544945862685,0.803448073970121,0.960584294563129
"ENST00000362079.2",0.204303663368336,0.204304044023509,11.8926278419089,0.570021033270742,0.879423888267005
"ENST00000361227.2",0.222216800313659,0.222221591282655,8.36137610147463,0.451335633072372,0.813823925958345
"ENST00000361335.1",0.0757036597996422,0.0757045626295627,9.20684527768969,0.966698710628119,0.997584634842184
"ENST00000361381.2",0.189657974307512,0.18965824687164,12.2665119506945,0.66692795493088,0.917423939830405
"ENST00000361567.2",0.289924141923646,0.289924892678071,11.4227339483606,0.13117284349814,0.441547788526635
"ENST00000361681.2",0.382838562049254,0.382841718480849,9.75964889615447,0.00640548448732097,0.0484591666330057
"ENST00000361789.2",0.384276858528157,0.384278241871083,10.9545231613058,0.00946509920714082,0.0664767160155674
"ENST00000614336.4",-0.477110891014956,-0.477526417004474,3.06831426444842,0.139104583577099,0.45779250579262
"ENST00000612640.4",-0.917971981807681,-0.921089275246641,1.21454575709123,0.14289208535982,0.46551896136353
"ENST00000618686.1",1.59062518964427,1.60479067199276,0.120746088335737,0.00887505015281525,0.0629483719729793
"ENST00000612465.1",0.0226124681003604,0.0226161335187764,5.52838569086111,0.952487234148756,0.996144037125101
"ENST00000612919.1",0.859749123761332,0.865216878574508,0.35839517118552,0.1105896275008,0.397640280983085
"ENST00000612848.1",-0.29945350924712,-0.299637779111955,3.53605091108279,0.242453382700622,0.621833023714047
"ENST00000613230.1",0.302766392685231,0.304501027348198,0.414444233123002,0.738808018125512,0.941951656035947
"ENST00000400754.4",-0.0957092089170535,-0.0961128138711476,0.782499488281488,0.863360808311925,0.976314515020994
"ENST00000707298.1",0.582295335797279,0.582572291307216,3.94488999743164,0.0247268985679936,0.139770560362624
"ENST00000707299.1",-0.134669476781062,-0.136022278128832,-0.39528617381114,0.868013834710775,0.977778833252164
"ENST00000707301.1",0.370483763587388,0.370962978279116,2.47651726412197,0.541994748081888,0.86719938953011
"ENST00000672017.1",-0.709368037247941,-0.709993767357045,3.07859396398259,0.0156917509530126,0.0989269962080924
"ENST00000672339.1",-1.34082221721202,-1.35304722849294,-0.00427620174242621,0.467081814482712,0.824480319792747
"ENST00000672295.1",0.0275035408235787,0.0275316515118379,2.83904440214775,0.929621508202798,0.991593305284658
"ENST00000672064.1",-0.397141925571518,-0.397823237170211,2.10546033880984,0.317003393441561,0.707348795272085
"ENST00000673550.1",-0.504771073090846,-0.504915769709284,4.65803533867969,0.026982673820567,0.149168745957367
"ENST00000672938.1",-0.998853442402564,-0.999297516754517,4.10759443380071,0.000593378210315136,0.0064360715531111
"ENST00000672225.1",-2.89544241708071,-2.91073906228776,1.35489864513397,4.42997774179287e-08,1.06247860559358e-06
"ENST00000672190.1",-1.26949829462123,-1.28229693981943,-0.15685626674425,0.618838693568646,0.899247241169428
"ENST00000673576.1",0.30035129564312,0.301107666479993,1.51862704328356,0.578405065182609,0.882870698369999
"ENST00000710476.1",-0.0104621414009805,-0.0105210613512178,0.281913354792851,0.987411964039455,0.999887020463801
"ENST00000643872.4",0.359060603830735,0.359130172258692,5.21107825358633,0.0928966251412795,0.355685418359521
"ENST00000628983.2",-0.0189211146078559,-0.0190272336746033,0.727445114841684,0.979166503558677,0.999887020463801
"ENST00000673006.3",-0.543678710669745,-0.548555112401864,-0.154760526652398,0.556185771991167,0.872672035011828
"ENST00000672883.3",0.309009523882951,0.312667236820251,-0.457350056941366,0.863211045731272,0.976314515020994
"ENST00000711214.1",0.144107202224385,0.144112002938277,7.72867197473932,0.866530648153734,0.977522603653067
"ENST00000711204.1",0.62861396066577,0.629040612292575,3.43177647986865,0.0169951563293723,0.105218691077285
"ENST00000711203.1",0.910005467499712,0.912931055546621,1.31186311042026,0.0634782258336734,0.275218636871544
"ENST00000711201.1",1.07630064249935,1.08584635439157,-0.0147120035564722,0.0534373332322721,0.245430195161098
"ENST00000711197.1",0.0367911434197617,0.0368115382224318,3.65631980638507,0.883181144804895,0.982125695472728
"ENST00000711192.1",-0.752747298552965,-0.759385206897711,-0.0767821688134638,0.52749515583807,0.859768851609839
"ENST00000711184.1",0.943045220484373,0.944738138155933,2.11446976673979,0.474581586697656,0.829420701636246
"ENST00000711179.1",-3.0526967188897,-3.0658137555132,1.71131351855993,0.107505504746502,0.39135590761251
"ENST00000711173.1",0.0396030950930846,0.0396440387978805,2.87450166712149,0.942503164122732,0.993931369907602
