"","logFC","unshrunk.logFC","logCPM","PValue","FDR"
"ENST00000506500.1",0.153133799624025,0.155068488526792,-0.622491184676655,0.841094159213996,1
"ENST00000511312.2",-0.105782188116877,-0.106536317272594,0.228299207699917,0.85745977511015,1
"ENST00000514613.5",-0.39531807248728,-0.398761840230289,-0.0729962352221639,0.87788697607863,1
"ENST00000505173.5",-0.218670572446783,-0.219526736242853,0.921772033263711,0.8595157483464,1
"ENST00000564978.5",-0.35034614381973,-0.351070718665371,1.82085304140327,0.586955227303783,1
"ENST00000320805.9",0.271160858348046,0.271230064981491,4.79601541356961,0.912153286367474,1
"ENST00000568998.1",0.933459245048878,0.940577644414869,0.147054923707743,0.214299113662091,0.809070860668518
"ENST00000568148.1",0.191943132196253,0.192656261121094,0.994061540142373,0.800091573986049,1
"ENST00000376139.6",0.151418565797031,0.151460006931379,4.70151762203845,0.963428259449847,1
"ENST00000376160.5",0.204312883980535,0.204434761125345,3.58871505587247,0.730931404590063,1
"ENST00000376166.5",0.265997274299483,0.269060114153387,-0.432442545986482,0.889547779864628,1
"ENST00000346832.10",0.283598247641624,0.285637874552098,0.109275410183246,0.821523598082714,1
"ENST00000376137.9",-0.0130277621582199,-0.013036235400371,3.69119951962669,0.993446430492356,1
"ENST00000418357.1",1.44879578766494,1.45379918328396,1.35450269190325,0.0213718350721901,0.201556327627854
"ENST00000268613.14",0.0908881584960246,0.0909163053147267,4.53222219577784,0.959607308645356,1
"ENST00000567109.6",0.148580845179152,0.14861603657736,4.88908021741596,0.992750675922321,1
"ENST00000431540.7",0.103648832517007,0.104136529568778,0.609310448013806,0.897686070467802,1
"ENST00000428848.7",-0.270383749230101,-0.270535097622168,3.69335761583989,0.621325258109023,1
"ENST00000539548.6",1.49317424617199,1.49878057678516,1.23632961312133,0.514507938171352,1
"ENST00000566333.1",1.15893100507796,1.16640304418144,0.436366496209684,0.372837822445758,0.977299660131344
"ENST00000569454.1",-0.326615722396591,-0.328426110572972,0.438800938682591,0.641349662281129,1
"ENST00000326474.5",2.18062320423935,2.23651732692843,-0.960861505404742,0.00515811000265935,0.0664183131785878
"ENST00000686010.1",-0.347326888098368,-0.347845993742509,2.28515777958909,0.811113013907142,1
"ENST00000398665.8",0.679782813804201,0.679880547936776,5.66847377531078,0.102146899498573,0.556097489845431
"ENST00000228825.12",0.0101771023612163,0.0101774848131888,7.51412515412919,1,1
"ENST00000467622.2",0.441862623281977,0.443706609435686,0.88313632007102,0.454115369064293,1
"ENST00000548878.6",0.226216521161806,0.228161040017224,-0.00755354353995162,0.748809506718449,1
"ENST00000475777.2",-0.235915888538661,-0.236983213383427,0.724486773348673,0.685436763767586,1
"ENST00000396062.4",-0.701887549949347,-0.702039372794822,5.09053932135751,0.0504137884047887,0.364217404537538
"ENST00000415923.6",-0.0366824157156534,-0.0367075354899656,3.49297822750267,0.965198093552434,1
"ENST00000446540.5",-0.91022256007954,-0.91806225990861,-0.019130454046203,0.478102095824524,1
"ENST00000262746.5",-0.145141474071003,-0.145426501163552,1.88906961950843,0.789110156353356,1
"ENST00000319248.13",0.261434717230376,0.261439579067715,8.57890766839616,0.999999442771168,1
"ENST00000674586.1",-0.982464707057587,-0.99048857871252,0.0659090779256686,0.706108255318731,1
"ENST00000675577.1",1.34708404569864,1.34863106737131,2.85622002406709,0.0100465286884443,0.11370739334793
"ENST00000377967.9",-0.334448835793484,-0.334953591380121,2.27370449391293,0.878800229985687,1
"ENST00000675440.1",0.744444182464099,0.748368448404593,0.608066648441072,0.237678291941724,0.842146450174732
"ENST00000683021.1",-0.443127803313527,-0.445197369895353,0.719590055306815,0.842563312916455,1
"ENST00000675182.1",0.987336128694031,0.989756430305642,1.6777833988522,0.166351894993301,0.718710068029125
"ENST00000587962.6",1.32869284666312,1.33850927492935,0.27791002666474,0.48853546360655,1
"ENST00000591099.6",-1.10262636138805,-1.11813548985651,-0.593203968927317,0.339471758481134,0.955330895427728
"ENST00000326631.7",0.0258655167768474,0.0258699039561906,5.3488631125582,0.999995417064808,1
"ENST00000588450.1",0.315233477000358,0.316984054650074,0.443071420039521,0.664566400687793,1
"ENST00000589097.6",0.663672084759572,0.671616953797535,-0.509439233520705,0.468390081599158,1
"ENST00000588545.2",-1.24371863740255,-1.26584170973628,-0.84028431240837,0.487362665058247,1
"ENST00000310806.9",-0.828672509885534,-0.829153946120572,3.69696611483095,0.0337449855389399,0.279049653776773
"ENST00000468666.5",0.269206671533272,0.269568358754671,2.458471200094,0.621893509009851,1
"ENST00000487534.5",0.726675475079357,0.731403164538303,0.328943628102799,0.402812142711268,0.996862532814107
"ENST00000547271.2",0.470446611036389,0.470462460254465,7.7380534072464,0.708747984908431,1
"ENST00000537798.5",-1.10627942978442,-1.13043671627935,-1.08727562256321,0.625739405991708,1
"ENST00000464190.6",0.356076913177203,0.357407680476692,1.02558790795986,0.53163101150519,1
"ENST00000350030.8",0.0555464911691076,0.055592031588913,3.01438870574383,0.921078935072434,1
"ENST00000453748.5",-1.34830757174773,-1.35072929321869,2.20507499293888,0.0101508180078061,0.114712747600782
"ENST00000470768.5",-3.15321762601908,-3.19334469292582,0.272703978656647,0.00314977400020661,0.0445957505868948
"ENST00000351223.7",-0.163788644560143,-0.163827436383051,4.90589049879058,0.946953216642052,1
"ENST00000530073.5",-0.898928177455843,-0.901668765511,1.36850234461674,0.100893802129138,0.551810628821287
"ENST00000481782.1",-0.541560307584671,-0.543231572681801,1.30194265480587,0.336268071909578,0.952637374799151
"ENST00000693758.1",0.203246891683138,0.203262458130059,6.53589673397003,0.999903889988121,1
"ENST00000685468.1",0.28176290312573,0.282700605694817,1.14671063669956,0.616579627067512,1
"ENST00000433866.7",0.439956345130637,0.443565672111024,-0.0324343437509177,0.522767421941916,1
"ENST00000570259.1",-0.272256903816079,-0.272492448087411,3.06959999352052,0.670822966680814,1
"ENST00000569301.2",-0.903562494909518,-0.907374304321972,0.921249346844018,0.170091885114821,0.725837814240608
"ENST00000219837.12",-0.0889476807664239,-0.0889960742072192,3.70433737652841,0.95711607429418,1
"ENST00000568230.5",0.0815056167970665,0.0816653706040278,1.92520234903437,0.880703363997841,1
"ENST00000567367.1",-0.14703211095239,-0.149344519488427,-0.696194728683849,0.907533854658907,1
"ENST00000565844.1",0.0319740825525202,0.0320280768461322,2.28157404391712,0.953100127563501,1
